date,transition,asset,pre_cum_ret,post_cum_ret
2005-02-25,0 -> 1,煤炭,0.0,0.0
2005-03-04,1 -> 0,黄金,-0.0059,-0.0014
2005-03-04,1 -> 0,白银,0.0711,-0.0027
2005-03-04,1 -> 0,铜,0.0231,0.0013
2005-03-04,1 -> 0,原油,0.0,0.0
2005-03-04,1 -> 0,煤炭,0.0,0.0
2005-06-03,0 -> 1,黄金,-0.0143,0.0117
2005-06-03,0 -> 1,白银,0.0446,-0.0296
2005-06-03,0 -> 1,铜,-0.0226,0.1051
2005-06-03,0 -> 1,原油,0.0,0.0
2005-06-03,0 -> 1,煤炭,0.0,0.0
2005-08-05,1 -> 0,黄金,0.0146,0.0782
2005-08-05,1 -> 0,白银,-0.0336,0.0048
2005-08-05,1 -> 0,铜,0.0559,0.0328
2005-08-05,1 -> 0,原油,0.0,0.0
2005-08-05,1 -> 0,煤炭,0.0,0.0
2006-01-27,0 -> 1,黄金,0.1248,0.0011
2006-01-27,0 -> 1,白银,0.0929,0.1606
2006-01-27,0 -> 1,铜,0.1231,0.1292
2006-01-27,0 -> 1,原油,0.0,0.0
2006-01-27,0 -> 1,煤炭,0.0,0.0
2006-06-02,1 -> 0,黄金,0.1188,-0.0481
2006-06-02,1 -> 0,白银,0.1041,-0.1491
2006-06-02,1 -> 0,铜,0.5489,-0.129
2006-06-02,1 -> 0,原油,0.0,0.0
2006-06-02,1 -> 0,煤炭,0.0,0.0
2006-06-09,0 -> 1,黄金,0.08,-0.0011
2006-06-09,0 -> 1,白银,0.0,-0.0594
2006-06-09,0 -> 1,铜,0.3583,-0.0105
2006-06-09,0 -> 1,原油,0.0,0.0
2006-06-09,0 -> 1,煤炭,0.0,0.0
2006-06-23,1 -> 0,黄金,-0.0857,0.096
2006-06-23,1 -> 0,白银,-0.2202,0.1724
2006-06-23,1 -> 0,铜,0.0354,0.0792
2006-06-23,1 -> 0,原油,0.0,0.0
2006-06-23,1 -> 0,煤炭,0.0,0.0
