date,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6
2019-09-20,4.17585255963409e-21,0.0,0.005371616907493813,0.0,0.4224535951125464,5.937333459016388e-12,0.5721747879740229
2019-09-27,2.9472061989510484e-26,0.0,0.0064150497310891,0.0,0.5081032048844977,1.3020871246568294e-50,0.4854817453844136
2019-10-04,3.596012135834689e-27,0.0,0.0041255033550852225,0.0,0.4072395366007894,7.631361102823317e-44,0.5886349600441249
2019-10-11,9.71544997259743e-27,0.0,0.0022224116870377176,0.0,0.47768637818186305,1.7579126477522244e-61,0.5200912101310994
2019-10-18,1.7252785826894792e-26,0.0,0.0014195188636671042,0.0,0.3960810822922358,7.774286549906864e-104,0.6024993988440971
2019-10-25,1.356785148794897e-23,0.0,0.002108226298447556,0.0,0.3879083437838371,3.9543730379828694e-45,0.6099834299177149
2019-11-01,3.933562904330982e-21,0.0,0.002626433219994482,0.0,0.5144739957802487,2.3373954381535917e-114,0.4828995709997569
2019-11-08,2.0389606829522902e-20,0.0,0.005208499234779199,0.0,0.5876932384014707,3.6657677729038537e-78,0.4070982623637502
2019-11-15,1.6038196168095672e-20,0.0,0.003782606398301985,0.0,0.6047211676170393,1.1647544631434259e-97,0.39149622598465883
2019-11-22,2.2127466661288376e-20,0.0,0.004034216743794319,0.0,0.6687993642746766,1.697418195678888e-94,0.327166418981529
2019-11-29,3.904922384968349e-21,0.0,0.003251693634897143,0.0,0.7144687271227171,5.132465360191228e-134,0.2822795792423852
2019-12-06,1.316991412666324e-15,0.0,0.004649474339529544,0.0,0.9105866236796927,1.67003837e-316,0.08476390198077655
2019-12-13,2.5703847680063214e-15,0.0,0.0044872916140231015,0.0,0.8898579912284704,0.0,0.1056547171575035
2019-12-20,1.245009622608316e-14,0.0,0.004655371132229597,0.0,0.9341974773454453,2.313058341071626e-309,0.061147151522312246
2019-12-27,6.741051446333157e-15,0.0,0.005872053124721281,0.0,0.8639868734848378,0.0,0.1301410733904342
2020-01-03,1.0815575861250745e-07,0.0,0.016974780013609792,0.0,0.9744656828318511,0.0,0.008559428998780412
2020-01-10,3.195537917850595e-07,0.0,0.006693321771121111,0.0,0.9919907938076491,0.0,0.0013155648674376837
2020-01-17,2.035938874927808e-06,0.0,0.008906692668011394,0.0,0.9904147419091972,0.0,0.0006765294839160368
2020-01-24,0.00013195670277246655,0.0,0.04691813763799298,0.0,0.9525274023551707,0.0,0.00042250330406344756
2020-01-31,0.0001231892160445502,0.0,0.9966942520771441,0.0,3.4580739220632824e-07,0.0,0.0031822128994193613
2020-02-07,0.0006309255591988163,0.0,0.1845934094708513,0.0,0.8144396124217508,2.2894004585645388e-296,0.00033605254819924185
2020-02-14,0.00017945402308260232,0.0,0.025959467927151907,0.0,0.9738346378268067,6.863791277262358e-265,2.6440222958847573e-05
2020-02-21,0.002161219497881566,0.0,0.9501531515635312,0.0,0.04727458067878261,5.364697105626908e-237,0.00041104825980458584
2020-02-28,2.5171172164791104e-09,0.0,0.9999999750917318,0.0,8.389875882764461e-47,2.370971245969481e-184,2.239115095773364e-08
2020-03-06,1.1784524221582641e-25,0.0,0.9388328842175084,0.0,1.8696538019810318e-35,3.1783948302939475e-37,0.06116711578249156
2020-03-13,2.8650123253720833e-24,0.0,0.967676967309122,0.0,1.8307069629342565e-33,1.0951592397949304e-48,0.03232303269087803
2020-03-20,3.497596422830259e-22,0.0,0.995379786707561,0.0,1.0078127062332505e-23,4.108604415110057e-167,0.004620213292439013
2020-03-27,5.4490193106859904e-18,0.0,0.7516989069205128,0.0,1.2752681646108428e-20,7.378806961306227e-95,0.24830109307948728
2020-04-03,9.155710973141367e-44,0.0,9.074133431733941e-05,0.0,5.678401832976133e-10,0.0,0.9999092580978425
2020-04-10,1.2227597119329266e-37,0.0,0.00011864876613027269,0.0,5.49922370618084e-08,0.0,0.9998812962416327
2020-04-17,1.9170115663396922e-33,0.0,0.00022331493686434702,0.0,2.389743773547753e-06,0.0,0.9997742953193621
2020-04-24,2.2495638966474953e-30,0.0,0.0005049895055259064,0.0,3.396186046669653e-05,0.0,0.9994610486340073
2020-05-01,4.951998689901089e-58,0.0,3.305095092227941e-06,0.0,3.106030211999812e-07,0.0,0.9999963843018863
2020-05-08,1.6615563003385094e-46,0.0,4.840699776911676e-06,0.0,5.139675020744059e-05,0.0,0.9999437625500155
2020-05-15,1.3466552682175776e-39,0.0,2.435071861942261e-05,0.0,3.891889991008185e-05,0.0,0.9999367303814707
2020-05-22,6.518408028095611e-35,0.0,5.513497167249078e-05,0.0,0.00035011724171813503,0.0,0.9995947477866096
2020-05-29,1.556629941844599e-35,0.0,0.0001181098399969924,0.0,0.0007453664840536156,2.6858806405891943e-207,0.9991365236759493
2020-06-05,4.7771820400191506e-29,0.0,0.0004442131096912406,0.0,0.002536965271721777,4.4882046457192686e-77,0.9970188216185868
2020-06-12,4.6913670300512316e-27,0.0,0.001305346925469763,0.0,2.5336166868110946e-05,3.6659924936648104e-72,0.9986693169076624
2020-06-19,2.15985626817265e-25,0.0,0.0017226145655866165,0.0,0.00010370772876898114,1.9833997280743367e-64,0.9981736777056441
2020-06-26,5.498989348278165e-29,0.0,0.0017486261780940056,0.0,0.00019963840535321153,5.753886853267322e-11,0.9980517353590143
2020-07-03,2.9745168267851662e-24,0.0,0.002900317451456993,0.0,0.009789331228114387,4.2783652838524083e-32,0.9873103513204287
2020-07-10,2.0198019222859407e-23,0.0,0.003535601512453564,0.0,0.006988009275865049,6.161275926782248e-47,0.9894763892116818
2020-07-17,1.2055482921288677e-22,0.0,0.004270866442396914,0.0,0.007943406780188848,5.650574141644984e-64,0.9877857267774137
2020-07-24,3.436129992508874e-31,0.0,0.013388131044974935,0.0,0.005926842937402541,0.0,0.9806850260176226
2020-07-31,6.705715056957099e-27,0.0,0.015860050865006557,0.0,0.006271341509959116,0.0,0.9778686076250345
2020-08-07,5.779618975199499e-26,0.0,0.010806448218731179,0.0,0.02115261266790279,0.0,0.9680409391133661
2020-08-14,4.332065734287316e-25,0.0,0.009897666909581188,0.0,0.024612269807750456,0.0,0.9654900632826686
2020-08-21,3.1582897352909727e-24,0.0,0.008893605486062942,0.0,0.03328163256197773,0.0,0.957824761951959
2020-08-28,4.497916869598125e-22,0.0,0.010014198777700897,0.0,0.019748165241028702,0.0,0.9702376359812703
2020-09-04,5.01835917677791e-17,0.0,0.038154326819572225,0.0,0.0037918139722842347,0.0,0.9580538592081436
2020-09-11,2.320805590280796e-16,0.0,0.029627920403423366,0.0,0.05305384479919976,0.0,0.9173182347973764
2020-09-18,7.058629040312388e-16,0.0,0.030250484467085545,0.0,0.08113960541147515,0.0,0.8886099101214389
2020-09-25,1.0764548418889857e-13,0.0,0.04427959028632467,0.0,0.2873962085287259,0.0,0.6683242011848415
2020-10-02,3.162097525951205e-10,0.0,0.141196037222407,0.0,0.37558216334784683,0.0,0.48322179911353647
2020-10-09,3.869640049441658e-10,0.0,0.09848935955144439,0.0,0.5584757848549781,0.0,0.34303485520661336
2020-10-16,1.1817226386032041e-09,0.0,0.14015761698819262,0.0,0.5148071417770227,0.0,0.34503524005306174
2020-10-23,3.1016042160848385e-08,0.0,0.24124447367671858,0.0,0.5271008552401534,0.0,0.23165464006708616
2020-10-30,1.0163090342234577e-07,0.0,0.711379442265638,0.0,0.012697936402397813,2.535e-321,0.27592251970106046
2020-11-06,1.7162026418104478e-06,0.0,0.11803944853808801,0.0,0.8554579579479017,0.0,0.026500877311368333
2020-11-13,1.4542671131750635e-06,0.0,0.04983769864247843,0.0,0.9413638824750904,0.0,0.008796964615318027
2020-11-20,2.4393844454382473e-06,0.0,0.05934723407145763,0.0,0.931969048726461,0.0,0.008681277817636173
2020-11-27,2.457700132808515e-05,0.0,0.03653051631890058,0.0,0.9624898296532078,3.7892790442158154e-302,0.0009550770265636765
2020-12-04,0.0069468081442173235,0.0,0.0477754221873721,0.0,0.9452267598526646,0.0,5.1009815746106446e-05
2020-12-11,0.012036435652253097,0.0,0.06932586863330596,0.0,0.918582718900087,0.0,5.497681435346061e-05
2020-12-18,0.010077243531560535,0.0,0.051098254071722124,0.0,0.9387861573115978,0.0,3.834508511978159e-05
2020-12-25,0.03542319363673774,0.0,0.043121716594394136,0.0,0.9214507565952446,0.0,4.33317362327226e-06
2021-01-01,0.8572694220627004,0.0,0.008771874102830928,0.0,0.1339587021037927,0.0,1.7306762500009648e-09
2021-01-08,0.7988773375457373,0.0,0.007924871667710272,0.0,0.19319778904461035,0.0,1.7419420603230566e-09
2021-01-15,0.8378120986715596,0.0,0.009414539624636632,0.0,0.15277335962944832,0.0,2.074355636677018e-09
2021-01-22,0.7439651651924051,0.0,0.008500363373361734,0.0,0.24753446902081985,0.0,2.4134132129035308e-09
2021-01-29,0.9681317683517892,0.0,0.023444810863248674,0.0,0.008423419179012997,0.0,1.605948882702822e-09
2021-02-05,0.937865907858024,0.0,0.0014901194543703027,0.0,0.060643972687196165,0.0,4.0910766860818217e-13
2021-02-12,0.9245190659445598,0.0,0.001658816122968678,0.0,0.07382211793085877,0.0,1.6125579797674763e-12
2021-02-19,0.921025645827733,0.0,0.002131876065323057,0.0,0.0768424781009767,0.0,5.967525676966574e-12
2021-02-26,0.9671981584552433,0.0,0.004550312502841993,0.0,0.0282515290400982,0.0,1.8159564289741743e-12
2021-03-05,0.9580885067116622,0.0,0.0018199274296094412,0.0,0.040091565858724275,0.0,4.030743445557388e-15
2021-03-12,0.9471541869291037,0.0,0.001154915226119624,0.0,0.051690897844741485,0.0,3.539893021276184e-14
2021-03-19,0.9438227200395554,0.0,0.0011614948395075333,0.0,0.05501578512067868,0.0,2.5761333762752194e-13
2021-03-26,0.9405780736093923,0.0,0.0019200372351250263,0.0,0.05750188915546364,0.0,1.915017529056476e-14
